screen_name,tweet_id,reply_date,reply_time,reply,collecting_date,collecting_time
theUnfading,822535775652872197,2017/1/20,20:6:25,b'Heart attack?? \xf0\x9f\xa4\x94 https://t.co/gdun9EAzhR',2017/1/20,12:7:21
UnknownVoter,822535589333520384,2017/1/20,20:5:41,b'@TimesNow dangal show is over stupid CM.....',2017/1/20,12:7:21
chaitu_chaituk,822535519666061313,2017/1/20,20:5:24,b'@Chinmayi @TimesNow  I think why you ppl scared from tamil youth by escaping we are support peta but not jallikattu...now relaxed',2017/1/20,12:7:21
logi3794,822535415127281665,2017/1/20,20:4:59,b'@narendramodi @IndianExpress @htTweets @TimesNow @nytimes @nytimesworld #justice for jallikattu \n#wedojallikattu\xe2\x80\xa6 https://t.co/ukdC7JyNun',2017/1/20,12:7:21
tanhadil1981,822535409859182592,2017/1/20,20:4:58,"b'RT @politicalSci_: \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\x82\xe0\xa4\x96\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\x96 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x97\xe0\xa4\x8f \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa4\xb0,\n\xe0\xa4\x90 \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\xa4\xe0\xa5\x82 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x81...?\n#ZairaWasim \nhttps://t.co/40yw62mk2c'",2017/1/20,12:7:21
shivaparv,822535337973022721,2017/1/20,20:4:41,"b'RT @rupasubramanya: Unlike their brain dead,cowardly and opportunistic counterparts in Bollywood, good to see Tamil celebs take a stand. ht\xe2\x80\xa6'",2017/1/20,12:7:21
arunsptwt,822535300987678720,2017/1/20,20:4:32,b'Before spreading lies just listen !!!\n@mathrubhumi @manoramaonline @manoramanews @reporter_tv @manoramaonline\xe2\x80\xa6 https://t.co/TtPLwMcf3T',2017/1/20,12:7:21
UrsTrulyPranoy,822535285208653824,2017/1/20,20:4:28,b'Retweeted TIMES NOW (@TimesNow):\n\nWater level in 91 major reservoirs in the country dips to 53% of their total... https://t.co/5BZgsnUiIy',2017/1/20,12:7:21
yaminivalli_01,822535265952657409,2017/1/20,20:4:24,b'RT @TimesNow: Jharkhand to declare film Dangal tax free: Chief Minister Raghubar Das https://t.co/X7Lmw6IPw2',2017/1/20,12:7:21
AdeleswitchGirl,822535252744826880,2017/1/20,20:4:20,"b""Today's debate was really nice with you @ApsaraReddy #timesnow""",2017/1/20,12:7:21
TamilanAnto,822535120393535490,2017/1/20,20:3:49,"b'@vigneshabbur20 @TimesNow lol seruppukey asingam ivana adhala adicha,..'",2017/1/20,12:7:21
DKCP35,822535090450427905,2017/1/20,20:3:42,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
goodboyvijay,822535086096650241,2017/1/20,20:3:41,"b""It's painful to hear the ban of jallikattu than my fracture\n#ISupportJallikattu \n@news7tamil \n@dinamalarweb\xe2\x80\xa6 https://t.co/HyO6m9kjPK""",2017/1/20,12:7:21
ShubhamLovelove,822535051883794434,2017/1/20,20:3:32,b'RT @TimesNow: Jharkhand to declare film Dangal tax free: Chief Minister Raghubar Das https://t.co/X7Lmw6IPw2',2017/1/20,12:7:21
chaitu_chaituk,822534958724030464,2017/1/20,20:3:10,"b""@Chinmayi @TimesNow Mam so from today onwards so u won't support PETA right?\xf0\x9f\x98\x80""",2017/1/20,12:7:21
TimesNow,822534917405843456,2017/1/20,20:3:0,b'Jharkhand to declare film Dangal tax free: Chief Minister Raghubar Das https://t.co/X7Lmw6IPw2',2017/1/20,12:7:21
inderjitsahota,822534842906771456,2017/1/20,20:2:43,b'@TimesNow wow how vulnerable they must be',2017/1/20,12:7:21
HARISH_csk,822534749617094659,2017/1/20,20:2:20,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
manoj_k90,822534553105498112,2017/1/20,20:1:34,"b'RT @TimesNow: Arrested Trinamool MP Sudip Bandopadhyaya, who was arrested in connection with Rose Valley chitfund scam, hospitalised in Cut\xe2\x80\xa6'",2017/1/20,12:7:21
Indianempire,822534519110696961,2017/1/20,20:1:25,b'RT @imPrabhuS: @TimesNow https://t.co/OwWctVsDK1\n..... and people like PETA speak about ethical treatment of animals. Shame indeed.!! #jall\xe2\x80\xa6',2017/1/20,12:7:21
nrchandan,822534400554520577,2017/1/20,20:0:57,"b'RT @rupasubramanya: Unlike their brain dead,cowardly and opportunistic counterparts in Bollywood, good to see Tamil celebs take a stand. ht\xe2\x80\xa6'",2017/1/20,12:7:21
inderjitsahota,822534369487241216,2017/1/20,20:0:50,b'@TimesNow Pakistan sees india as a existional threat to its existence. Therefore india is its mortal enemy india must be destroyed.',2017/1/20,12:7:21
Sec396397,822534239195369472,2017/1/20,20:0:19,"b'RT @rupasubramanya: Unlike their brain dead,cowardly and opportunistic counterparts in Bollywood, good to see Tamil celebs take a stand. ht\xe2\x80\xa6'",2017/1/20,12:7:21
TamilanAnto,822534114083532800,2017/1/20,19:59:49,b'@BharathiiA @TimesNow manusinghvi nee oru echai nu nalla puriudhu...  Kasukaga kandadha thingira kootathula oruthan nee...',2017/1/20,12:7:21
TimesNow_tweets,822534104591859713,2017/1/20,19:59:47,b'Officially now in Bozo Land\n\n#TheResistance  #NoFascistWorld https://t.co/wXovRWVvJ3',2017/1/20,12:7:21
messi1lol,822534061369552900,2017/1/20,19:59:36,b'RT @s_navroop: LOL !! Baba Ji aap Yog Sikhayen Geo Politics nahin \xf0\x9f\x98\x9d https://t.co/Zix0qE2WJa',2017/1/20,12:7:21
PDrsudhakar,822534036610486272,2017/1/20,19:59:30,b'RT @sunny_congress: \xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\x9c\xe0\xa5\x87\xe0\xa4\xaa\xe0\xa5\x80 has an edge in USA too. https://t.co/XaHA72gh6r',2017/1/20,12:7:21
paree7dec,822534007141335040,2017/1/20,19:59:23,b'@TimesNow Hospitals are now the first resort of the corrupt &amp; crooked ! #RoseValleychitfund #TMC #RoseValley',2017/1/20,12:7:21
DarthDevilish,822533976745250817,2017/1/20,19:59:16,"b""@TimesNow U watched 'silently' as 'corruption' thrived under u for 10yrs. U dont get 2 use the word 'Dissent'.""",2017/1/20,12:7:21
visuba2007,822533931673288706,2017/1/20,19:59:5,"b""RT @Kolly_Planet: #Khushboo 's Bold Statement about #Jallikattu on @TimesNow #JusticeForJallikattu #Jallikattuprotest @khushsundar https://\xe2\x80\xa6""",2017/1/20,12:7:21
avadipraveen,822533899330928643,2017/1/20,19:58:58,b'RT @ermmani1: Amend PCA Act soon.\n#JusticeforJallikattu #AmendPCAact #AmendPCA\n@ndtv @ANI_news @CNNnews18 @CNN @timesofindia @TimesNow http\xe2\x80\xa6',2017/1/20,12:7:21
NeerajS77158590,822533862991560705,2017/1/20,19:58:49,"b'@TimesNow thy say apni aukat me raho, hum apni aukat me hi rah rahe hain aur apke mahan stat ko Ganda karne nahi aa rahe hain. @TimesNow'",2017/1/20,12:7:21
AjayYakapur,822533818926174209,2017/1/20,19:58:39,"b'RT @RoflGandhi_: 2008 feels like yesterday, goodbye Boku. #fav https://t.co/9nTNKWyf1g'",2017/1/20,12:7:21
IVNTalks,822533774453964800,2017/1/20,19:58:28,"b'RT @ChandrusWeb: Isnt TN part of India,  how is it out of national politics?  @SudhanshuTrived https://t.co/KbKvEV56H3'",2017/1/20,12:7:21
vashisthupadhay,822533628592852993,2017/1/20,19:57:53,b'now hospital hospital game started when these cowards arrested they start playing hospital game @TimesNow',2017/1/20,12:7:21
tweetamit07,822533565388910592,2017/1/20,19:57:38,b'RT @TimesNow: #BREAKING Law Ministry approves ordinance on Jallikattu with minor changes. #MakkalMovement https://t.co/Tv8fNBRfC4',2017/1/20,12:7:21
SvhYogesh,822533460799717376,2017/1/20,19:57:13,b'RT @Marc__Me: @TimesNow Why pick @asadowaisi and not  @HRajaBJP ? https://t.co/l0yGYiadMn',2017/1/20,12:7:21
satnaraing70,822533366696280067,2017/1/20,19:56:51,b'@TimesNow To give milk to snake does not mean will not bite',2017/1/20,12:7:21
DrManishaRajput,822533309917970432,2017/1/20,19:56:37,b'RT @DrManishaRajput: @TimesNow @narendramodi @realDonaldTrump 14 th PM of India to 45 th President of US',2017/1/20,12:7:21
DrManishaRajput,822533259171102724,2017/1/20,19:56:25,b'@TimesNow @narendramodi @realDonaldTrump 14 th PM of India to 45 th President of US',2017/1/20,12:7:21
adityasaxena20,822533251264872448,2017/1/20,19:56:23,b'RT @hstapanghosh: No. But it is proved that SC is not above our tradition and heritage. Thanks to Tamil Hindus. https://t.co/SqRjU1Byrk',2017/1/20,12:7:21
SaraK8848,822533110143258625,2017/1/20,19:55:50,b'RT @Prabha_Guna: Supports from all around the world @ndtv @TimesNow @CNNnews18 @TheHindu @timesofindia #AmendPCA #justiceforjallikatu #Save\xe2\x80\xa6',2017/1/20,12:7:21
dsrinath1993,822533069332746241,2017/1/20,19:55:40,"b""RT @TimesNow: Tamil film fraternity backs #JallikattuUprising. Reply with your take on it and join tonight's @thenewshour at 9 PM https://t\xe2\x80\xa6""",2017/1/20,12:7:21
manafmmmkhan,822532764796915712,2017/1/20,19:54:27,"b'RT @TimesNow: I respect the young people, who democratically &amp; peacefully showed their cultural concerns:Ravi Shankar Prasad,Union Law Min\xe2\x80\xa6'",2017/1/20,12:7:21
Sanjai_praboo,822532751421214720,2017/1/20,19:54:24,b'RT @ermmani1: Amend PCA Act soon.\n#JusticeforJallikattu #AmendPCAact #AmendPCA\n@ndtv @ANI_news @CNNnews18 @CNN @timesofindia @TimesNow http\xe2\x80\xa6',2017/1/20,12:7:21
NeerajS77158590,822532749122740224,2017/1/20,19:54:23,"b'I kno per in some cases thy r using all d means n pressures to invite certain unwilling ppl to work in thr stats, c\xe2\x80\xa6 https://t.co/2UobIT42cS'",2017/1/20,12:7:21
raguljain1,822532730525220866,2017/1/20,19:54:19,b'RT @iam_K_A: Protester frm Marina Beach says she came here as a Tamilian to fi8 against #Jallikattu ban. #JungleRajinkerala  https://t.co/g\xe2\x80\xa6',2017/1/20,12:7:21
vinaydokania,822532557938053120,2017/1/20,19:53:38,b'RT @sunny_congress: \xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\x9c\xe0\xa5\x87\xe0\xa4\xaa\xe0\xa5\x80 has an edge in USA too. https://t.co/XaHA72gh6r',2017/1/20,12:7:21
vsagayvijayarja,822532531992006660,2017/1/20,19:53:32,b'RT @Rajbihari5: @TimesNow Jallikattu is not as cruelty as this one. #MakkalMovement https://t.co/c7GUyTtpuk',2017/1/20,12:7:21
bharathi_j,822532396843171840,2017/1/20,19:52:59,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
nagarajs87,822532345475563521,2017/1/20,19:52:47,b'RT @VidhuraParash: #justiceforjallikatu #jallikattu #pmoindia #SaveJallikattu #saveourculturejalikattu #timesnow #News18India #NDTVNews #ne\xe2\x80\xa6',2017/1/20,12:7:21
nolannist,822532306753699841,2017/1/20,19:52:38,b'@Chinmayi @TimesNow home work niraya panirpanga polarku. anyways AMEND PCA ACT SOON',2017/1/20,12:7:21
DeelajaVijay,822532175732031489,2017/1/20,19:52:7,b'RT @TimesNow: Telugu superstar Mahesh Babu comes out strongly in support of jallikattu amid groundswell in Tamil Nadu for conduct of the sp\xe2\x80\xa6',2017/1/20,12:7:21
parwez1,822532039828209664,2017/1/20,19:51:34,"b'RT @CarDroidusMax: To cover up the RSS own goal on reservations, what is the best strategy for TimesNow? #UPElection2017 #AntiReservation_B\xe2\x80\xa6'",2017/1/20,12:7:21
Luttapi2,822531986422108160,2017/1/20,19:51:22,b'RT @retheeshraj10: Koi dhandha chotta nahi hota..aur dhandhe se bada koi Dharm nahi hota.. https://t.co/TlXEyvtxpu',2017/1/20,12:7:21
Bk_Unstoppable,822531968449515522,2017/1/20,19:51:17,b'RT @TimesNow: Telugu superstar Mahesh Babu comes out strongly in support of jallikattu amid groundswell in Tamil Nadu for conduct of the sp\xe2\x80\xa6',2017/1/20,12:7:21
KhorshedBhaskar,822531936820350976,2017/1/20,19:51:10,"b""@TimesNow @nitin_gadkari:atrocious/undiplomat lang.Y u want 2 'beat China'.Compete wid China n b humble,low profile,understated in all u do!""",2017/1/20,12:7:21
rohandas4292,822531833023827969,2017/1/20,19:50:45,b'RT @TimesNow: Telugu superstar Mahesh Babu comes out strongly in support of jallikattu amid groundswell in Tamil Nadu for conduct of the sp\xe2\x80\xa6',2017/1/20,12:7:21
MESONOFINDIA,822531781496815616,2017/1/20,19:50:33,"b""RT @TimesNow: PETA issues statement, says it's unfair to target valid efforts by PETA India which has lawfully supported a petition filed b\xe2\x80\xa6""",2017/1/20,12:7:21
eccentricraj,822531774106521601,2017/1/20,19:50:31,b'RT @MixedRaita: Raging Bull wins...funny that judges of Supreme Court have always shied away when there is a western threat to our culture\xe2\x80\xa6',2017/1/20,12:7:21
NeerajS77158590,822531756414865408,2017/1/20,19:50:27,"b'Some ppl of rich states of Ind, brand poor 1s as begger bt thy forget tht thy thmselves invite ppl fr begger states to work thr @TimesNow'",2017/1/20,12:7:21
arunthara,822531654036189184,2017/1/20,19:50:2,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
rupandgreat,822531513979912192,2017/1/20,19:49:29,b'Alarmingly scary! https://t.co/3AEzlhsLOO',2017/1/20,12:7:21
suave_navigator,822531475354611712,2017/1/20,19:49:20,b'@RahulDumbGandhi @TimesNow ha ha ha ye to hona hi hai',2017/1/20,12:7:21
ParveenKader,822531467335057409,2017/1/20,19:49:18,b'@TimesNow You people r mad!!!! Leave her alone. She is just a kid',2017/1/20,12:7:21
ChidanandDani,822531403292217344,2017/1/20,19:49:3,b'RT @TimesNow: #PICTURES: Donald Trump sworn in as the 45th President of the United States #TrumpEra https://t.co/5mH8VY08Nd',2017/1/20,12:7:21
TimesNow_tweets,822531358169923584,2017/1/20,19:48:52,b'@neeratanden @tribelaw @SpeakerRyan @SenateMajLdr 2-end\nalso bec U kept pub-needed-inf B4-vote secret which should be investigated too.',2017/1/20,12:7:21
mkchatz,822531333301948417,2017/1/20,19:48:46,"b'Nonsensical,utterly idiotic &amp; inhumanity towards poor animals #Jallikattu guise of falsified culture &amp; tradition\xe2\x80\xa6 https://t.co/2QQu5IMFnB'",2017/1/20,12:7:21
honestology,822531325102063616,2017/1/20,19:48:44,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
nandakrishna2,822531274141270016,2017/1/20,19:48:32,b'@TimesNow ha ha when it comes to custody',2017/1/20,12:7:21
jaiprakashshah2,822531089847742464,2017/1/20,19:47:48,b'RT @mike921112: @jaiprakashshah2 @TimesNow Is it your position that more PAK spies live in Kashmir than Mumbai?',2017/1/20,12:7:21
manndeo,822531045874683904,2017/1/20,19:47:37,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
mandar_aditya,822531021199540224,2017/1/20,19:47:31,b'@TimesNow you should support #manveergurjar #manveerwinner on #BiggBoss10',2017/1/20,12:7:21
shwetankbhushan,822530948508110848,2017/1/20,19:47:14,"b'RT @rupasubramanya: Unlike their brain dead,cowardly and opportunistic counterparts in Bollywood, good to see Tamil celebs take a stand. ht\xe2\x80\xa6'",2017/1/20,12:7:21
Yoganat36138296,822530901787770880,2017/1/20,19:47:3,b'@Chinmayi @TimesNow brilliant spech my dear sister \xe0\xae\xa8\xe0\xae\xa9\xe0\xaf\x8d\xe0\xae\xb1\xe0\xae\xbf..',2017/1/20,12:7:21
my_siva,822530895693414402,2017/1/20,19:47:2,b'RT @Chinmayi: My PoV at @TimesNow earlier\nhttps://t.co/IyDj3SLZoY',2017/1/20,12:7:21
harishjuneja121,822530887514472450,2017/1/20,19:47:0,b'RT @jaiprakashshah2: Watch how many Pakistani agents are living and active in Kashmir \n#ZairaWasim https://t.co/tHv2nmrWNc',2017/1/20,12:7:21
arunmano1,822530782321405952,2017/1/20,19:46:35,b'RT @Chinmayi: My PoV at @TimesNow earlier\nhttps://t.co/IyDj3SLZoY',2017/1/20,12:7:21
RamaY_BRF,822530716072374274,2017/1/20,19:46:19,b'RT @imPrabhuS: @TimesNow https://t.co/OwWctVsDK1\n..... and people like PETA speak about ethical treatment of animals. Shame indeed.!! #jall\xe2\x80\xa6',2017/1/20,12:7:21
ramana_brf,822530708191277056,2017/1/20,19:46:17,b'RT @madhanprasangam: @TimesNow @PetaIndia I request your CEO to read this and make logical decisions!! https://t.co/vQN5st7Xmg',2017/1/20,12:7:21
aashokkumar0506,822530692030595073,2017/1/20,19:46:13,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
TimesNow_tweets,822530674582319105,2017/1/20,19:46:9,"b""@neeratanden @tribelaw @SpeakerRyan @SenateMajLdr  1+\nSen McConell, Pls\n1 c all thread (as named) \n2 recuse self as T is wife's-new-boss +""",2017/1/20,12:7:21
dheyanesh,822530652499308544,2017/1/20,19:46:4,b'RT @ermmani1: Amend PCA Act soon.\n#JusticeforJallikattu #AmendPCAact #AmendPCA\n@ndtv @ANI_news @CNNnews18 @CNN @timesofindia @TimesNow http\xe2\x80\xa6',2017/1/20,12:7:21
shivu_33riyadh,822530613731332097,2017/1/20,19:45:54,b'@TimesNow JUST TELL HIM HE GOT CANCER AIDS OR ALCER AND NEED TO DO OPERATION HE GO RUN BACK TO JAIL',2017/1/20,12:7:21
Chinmayi,822530592940101632,2017/1/20,19:45:49,b'My PoV at @TimesNow earlier\nhttps://t.co/IyDj3SLZoY',2017/1/20,12:7:21
dileep_kasturi,822530550871322624,2017/1/20,19:45:39,b'@TimesNow looks like nothing learnt from Bihar!',2017/1/20,12:7:21
virbrij,822530449297866753,2017/1/20,19:45:15,b'Pradhan Mantri Garib Kalyan Yojana (#PMGKY) : Govt to bars cooperative banks from accepting deposits under PMGKY\nhttps://t.co/6nHTJr4s59',2017/1/20,12:7:21
mahisax,822530366774898690,2017/1/20,19:44:55,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
jay2978ms,822530331752484864,2017/1/20,19:44:47,"b'RT @TimesNow: RSS supports reservation enshrined in Constitution: Dattatreya Hosabale, Joint General Secretary of the RSS https://t.co/0qOM\xe2\x80\xa6'",2017/1/20,12:7:21
ramana_brf,822530330796130306,2017/1/20,19:44:47,b'RT @imPrabhuS: @TimesNow https://t.co/OwWctVsDK1\n..... and people like PETA speak about ethical treatment of animals. Shame indeed.!! #jall\xe2\x80\xa6',2017/1/20,12:7:21
Sourabhprk,822530319748399105,2017/1/20,19:44:44,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
umedmehta45,822530301515669505,2017/1/20,19:44:40,b'RT @MixedRaita: Raging Bull wins...funny that judges of Supreme Court have always shied away when there is a western threat to our culture\xe2\x80\xa6',2017/1/20,12:7:21
chaishh,822530141838606338,2017/1/20,19:44:2,"b'RT @TimesNow: This protest is unprecendeed in India, says PMK MP Anbumani Ramadoss after Law Ministry approves ordinance on Jallikattu #Mak\xe2\x80\xa6'",2017/1/20,12:7:21
JawedJamine,822530107038453760,2017/1/20,19:43:54,b'@TimesNow Baba jee pahle apni country to sahi kar lo... Yahan to jawano ko v dhang ka khana nasib nahi ho raha hai... \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4',2017/1/20,12:7:21
