screen_name,tweet_id,tweet_date,tweet_time,tweet
Nkatha_Kithinji,822284473207234560,2017/1/20,3:27:50,b'@KenyaPower_Care no electricity on Likoni Road..'
Carole4homez,822284118377582592,2017/1/20,3:26:25,b'@KenyaPower_Care  kindly address the flashing lights due to fluctuating voltage at seasons kasarani near pcea MTR:01450142763'
RasDunkie13,822284035623948289,2017/1/20,3:26:6,b'@KenyaPower_Care #BuruBuruPhase5 ... This is the 3rd day &amp; night without power... Mme tupangia aje?'
Mjei_,822283758850232321,2017/1/20,3:25:0,b'But @KenyaPower_Care just had to mess up my morning wit their blackouts. kindly restore power in south B 01450612534'
gmNgwiri,822283501676482561,2017/1/20,3:23:58,b'@kenyapower_care hello..morning. Any response?'
Tonnyruitha2,822282783838052353,2017/1/20,3:21:7,b'@KenyaPower_Care Acc. No. 318097-01 we are having low voltage(dim) lights since last evening. Please assist. Previous night blackout.'
kngamau,822282706339893248,2017/1/20,3:20:49,b'@KenyaPower_Care We have low voltage power at Clayworks estate near Jalyn school since last night. Please rectify.'
Mjei_,822282520750342145,2017/1/20,3:20:4,b'@KenyaPower_Care is at a scheduled outage tuanze kujipanga na kuchemsha maji na kuni?'
JudyNyagah,822281677779111940,2017/1/20,3:16:43,"b'@KenyaPower_Care ,we have no power since midnight despite having no power the whole of yesterday! #Buru buru phase 3'"
Jap20,822281614503923712,2017/1/20,3:16:28,"b'@KenyaPower_Care Mweni road, off chai  road, next to juja road hospital 0722383811'"
Carole4homez,822281467594211334,2017/1/20,3:15:53,b'@KenyaPower_Care kindly address the low voltage situation at seasons kasarani near PCEA church its been 10hours..  MTR:01450142763'
mohammeda2A,822281258810167296,2017/1/20,3:15:4,b'@KenyaPower_Care Still no electricity. The emergency  team came at 10pm last night. When will I get electricity?'
collinssai1,822281085052715012,2017/1/20,3:14:22,b'@kenyapower_care  trans Nzoia \xc3\xa7herangany motosiet 0726438070'
Leonardmachari4,822280213727969280,2017/1/20,3:10:54,b'@KenyaPower_Care for 4days without power and you cant even give a timeframe yet?other places have electricity n ours dnt.dont we pay or wat'
